track,agency,cert_code,cert_name,name,phone,gender,birth_date,exam_region,exam_date,exam_session,fee_amount,fee_discount_type,fee_final,payment_method,status,usage_context,channel,memo,extra,created_at
국가기술,두두넷,7910,한식조리기능사,안갑순,010-7276-9696,F,1954-07-13,울산,2026-09-25,5교시,14500,없음,14500,신용카드,접수완료,가족보조,,,"{""source_receipt"": ""DN2026090785"", ""education"": ""초등학교졸업"", ""grade"": ""기능사"", ""exam_type"": ""상시CBT"", ""eligibility"": ""비전공자"", ""exam_center"": ""울산시험장"", ""payment_status"": ""완료"", ""discount_amount"": 0}",2026-08-19 16:12:00
국가기술,두두넷,7520,지게차운전기능사,오원호,010-6551-2359,M,1956-07-24,울산,2026-09-05,5교시,14500,장애인,7250,계좌이체,접수완료,가족보조,,,"{""source_receipt"": ""DN2026483901"", ""education"": ""초등학교졸업"", ""grade"": ""기능사"", ""exam_type"": ""상시CBT"", ""eligibility"": ""비전공자"", ""exam_center"": ""울산시험장"", ""payment_status"": ""완료"", ""discount_amount"": 7250}",2026-08-11 16:20:00
국가기술,두두넷,7530,굴착기운전기능사,성동석,010-8570-9497,M,1958-07-02,경기,2026-09-12,5교시,14500,없음,14500,신용카드,접수완료,가족보조,,,"{""source_receipt"": ""DN2026978464"", ""education"": ""초등학교졸업"", ""grade"": ""기능사"", ""exam_type"": ""상시CBT"", ""eligibility"": ""관련학과졸업"", ""exam_center"": ""고양시험장"", ""payment_status"": ""완료"", ""discount_amount"": 0}",2026-08-10 14:08:00
국가기술,두두넷,7910,한식조리기능사,오순자,010-2798-1381,F,1963-04-23,대전,2026-09-17,4교시,14500,없음,14500,계좌이체,접수완료,본인단독,,,"{""source_receipt"": ""DN2026692375"", ""education"": ""중학교졸업"", ""grade"": ""기능사"", ""exam_type"": ""상시CBT"", ""eligibility"": ""관련학과졸업"", ""exam_center"": ""대전시험장"", ""payment_status"": ""완료"", ""discount_amount"": 0}",2026-08-16 10:59:00
국가기술,두두넷,2300,전기기능사,장병수,010-7640-4289,M,1962-07-21,대구,2026-09-13,2교시,14500,없음,14500,신용카드,접수완료,본인단독,,,"{""source_receipt"": ""DN2026345714"", ""education"": ""중학교졸업"", ""grade"": ""기능사"", ""exam_type"": ""정기"", ""exam_round"": ""1"", ""eligibility"": ""비전공자"", ""exam_center"": ""대구시험장"", ""payment_status"": ""완료"", ""discount_amount"": 0}",2026-08-18 15:52:00
국가기술,두두넷,7910,한식조리기능사,백만수,010-2580-2945,M,1955-03-12,경남,2026-09-20,3교시,14500,없음,14500,신용카드,접수완료,가족보조,,,"{""source_receipt"": ""DN2026986945"", ""education"": ""중학교졸업"", ""grade"": ""기능사"", ""exam_type"": ""상시CBT"", ""eligibility"": ""관련학과졸업"", ""exam_center"": ""창원시험장"", ""payment_status"": ""완료"", ""discount_amount"": 0}",2026-08-12 15:09:00
국가기술,두두넷,7910,한식조리기능사,양미자,010-2186-9212,F,1964-04-18,충북,2026-10-04,1교시,14500,장애인,7250,계좌이체,접수완료,본인단독,,,"{""source_receipt"": ""DN2026899538"", ""education"": ""고등학교졸업"", ""grade"": ""기능사"", ""exam_type"": ""상시CBT"", ""eligibility"": ""경력"", ""exam_center"": ""청주시험장"", ""payment_status"": ""완료"", ""discount_amount"": 7250}",2026-08-10 14:13:00
국가기술,두두넷,2300,전기기능사,오성호,010-7111-7530,M,1957-07-13,충북,2026-10-18,3교시,14500,없음,14500,가상계좌,접수완료,복지관,,,"{""source_receipt"": ""DN2026097166"", ""education"": ""고등학교졸업"", ""grade"": ""기능사"", ""exam_type"": ""정기"", ""exam_round"": ""4"", ""eligibility"": ""관련학과졸업"", ""exam_center"": ""청주시험장"", ""payment_status"": ""완료"", ""discount_amount"": 0}",2026-08-13 13:06:00
국가기술,두두넷,7520,지게차운전기능사,유갑수,010-2312-8173,M,1953-12-24,충북,2026-09-13,3교시,14500,장애인,7250,신용카드,접수완료,대리접수,,,"{""source_receipt"": ""DN2026310774"", ""education"": ""고등학교졸업"", ""grade"": ""기능사"", ""exam_type"": ""상시CBT"", ""eligibility"": ""경력"", ""exam_center"": ""청주시험장"", ""payment_status"": ""완료"", ""discount_amount"": 7250}",2026-08-14 14:50:00
국가기술,두두넷,7530,굴착기운전기능사,민미자,010-5625-7208,F,1963-08-18,광주,2026-10-14,5교시,14500,없음,14500,가상계좌,접수완료,본인단독,,,"{""source_receipt"": ""DN2026690191"", ""education"": ""대학원졸"", ""grade"": ""기능사"", ""exam_type"": ""상시CBT"", ""eligibility"": ""비전공자"", ""exam_center"": ""광주시험장"", ""payment_status"": ""완료"", ""discount_amount"": 0}",2026-08-19 16:12:00
국가기술,두두넷,7910,한식조리기능사,안정자,010-7827-4788,F,1954-06-01,충남,2026-09-22,4교시,14500,차상위계층,7250,신용카드,접수완료,본인단독,,,"{""source_receipt"": ""DN2026827843"", ""education"": ""고등학교졸업"", ""grade"": ""기능사"", ""exam_type"": ""상시CBT"", ""eligibility"": ""경력"", ""exam_center"": ""천안시험장"", ""payment_status"": ""완료"", ""discount_amount"": 7250}",2026-08-17 17:12:00
국가기술,두두넷,7530,굴착기운전기능사,민운순,010-5710-4281,F,1956-09-26,경북,2026-11-14,3교시,14500,없음,14500,신용카드,접수완료,가족보조,,,"{""source_receipt"": ""DN2026556827"", ""education"": ""전문대졸"", ""grade"": ""기능사"", ""exam_type"": ""상시CBT"", ""eligibility"": ""관련학과졸업"", ""exam_center"": ""포항시험장"", ""payment_status"": ""완료"", ""discount_amount"": 0}",2026-08-02 09:26:00
국가기술,두두넷,7530,굴착기운전기능사,남영자,010-3104-3140,F,1929-10-10,울산,2026-10-13,4교시,14500,차상위계층,7250,신용카드,접수완료,본인단독,,,"{""source_receipt"": ""DN2026277665"", ""education"": ""대학교졸"", ""grade"": ""기능사"", ""exam_type"": ""상시CBT"", ""eligibility"": ""비전공자"", ""exam_center"": ""울산시험장"", ""payment_status"": ""완료"", ""discount_amount"": 7250}",2026-08-06 14:16:00
국가기술,두두넷,2300,전기기능사,곽영숙,010-2881-6402,F,1942-03-27,경남,2026-09-18,1교시,14500,없음,14500,계좌이체,접수완료,본인단독,,,"{""source_receipt"": ""DN2026482211"", ""education"": ""전문대졸"", ""grade"": ""기능사"", ""exam_type"": ""정기"", ""exam_round"": ""1"", ""eligibility"": ""경력"", ""exam_center"": ""창원시험장"", ""payment_status"": ""완료"", ""discount_amount"": 0}",2026-08-18 13:40:00
국가기술,두두넷,2300,전기기능사,류미자,010-8193-1942,F,1956-03-19,부산,2026-10-17,2교시,14500,없음,14500,신용카드,접수완료,복지관,,,"{""source_receipt"": ""DN2026792220"", ""education"": ""전문대졸"", ""grade"": ""기능사"", ""exam_type"": ""정기"", ""exam_round"": ""4"", ""eligibility"": ""관련학과졸업"", ""exam_center"": ""부산남부시험장"", ""payment_status"": ""완료"", ""discount_amount"": 0}",2026-08-06 13:17:00
국가기술,두두넷,7910,한식조리기능사,임점순,010-2417-1542,F,1954-09-06,충남,2026-09-24,4교시,14500,없음,14500,신용카드,접수완료,복지관,,,"{""source_receipt"": ""DN2026143606"", ""education"": ""전문대졸"", ""grade"": ""기능사"", ""exam_type"": ""상시CBT"", ""eligibility"": ""비전공자"", ""exam_center"": ""천안시험장"", ""payment_status"": ""완료"", ""discount_amount"": 0}",2026-08-08 18:38:00
국가기술,두두넷,7910,한식조리기능사,곽두만,010-1205-4786,M,1963-06-26,전남,2026-11-04,1교시,14500,없음,14500,계좌이체,접수완료,복지관,,,"{""source_receipt"": ""DN2026674131"", ""education"": ""고등학교졸업"", ""grade"": ""기능사"", ""exam_type"": ""상시CBT"", ""eligibility"": ""비전공자"", ""exam_center"": ""순천시험장"", ""payment_status"": ""완료"", ""discount_amount"": 0}",2026-08-08 18:28:00
